image_id,class
ISIC_0053454,1
ISIC_0053456,1
ISIC_0053459,0
ISIC_0053466,0
ISIC_0053470,1
ISIC_0053479,1
ISIC_0053485,1
ISIC_0053492,1
ISIC_0053493,0
ISIC_0053497,0
ISIC_0053503,1
ISIC_0053507,1
ISIC_0053513,1
ISIC_0053532,0
ISIC_0053533,1
ISIC_0053539,0
ISIC_0053540,0
ISIC_0053541,1
ISIC_0053542,1
ISIC_0053545,1
ISIC_0053551,0
ISIC_0053556,0
ISIC_0053557,0
ISIC_0053564,0
ISIC_0053570,1
ISIC_0053572,0
ISIC_0053574,0
ISIC_0053577,0
ISIC_0053582,1
ISIC_0053584,0
ISIC_0053596,0
ISIC_0053603,1
ISIC_0053609,0
ISIC_0053611,1
ISIC_0053617,1
ISIC_0053618,0
ISIC_0053620,1
ISIC_0053623,0
ISIC_0053628,1
ISIC_0053630,0
ISIC_0053634,0
ISIC_0053636,0
ISIC_0053637,0
ISIC_0053642,0
ISIC_0053643,0
ISIC_0053645,0
ISIC_0053647,0
ISIC_0053652,0
ISIC_0053655,0
ISIC_0053665,0
ISIC_0053668,0
ISIC_0053673,0
ISIC_0053674,1
ISIC_0053675,0
ISIC_0053681,0
ISIC_0053690,0
ISIC_0053691,1
ISIC_0053699,1
ISIC_0053700,1
ISIC_0053702,1
ISIC_0053711,0
ISIC_0053713,0
ISIC_0053718,0
ISIC_0053720,0
ISIC_0053724,0
ISIC_0053729,0
ISIC_0053732,0
ISIC_0053734,1
ISIC_0053739,0
ISIC_0053740,1
ISIC_0053742,1
ISIC_0053751,1
ISIC_0053752,0
ISIC_0053754,0
ISIC_0053755,0
ISIC_0053760,0
ISIC_0053765,1
ISIC_0053766,1
ISIC_0053773,0
ISIC_0053774,1
ISIC_0053786,0
ISIC_0053788,0
ISIC_0053797,0
ISIC_0053800,1
ISIC_0053801,1
ISIC_0053803,0
ISIC_0053804,1
ISIC_0053810,1
ISIC_0053814,1
ISIC_0053824,1
ISIC_0053827,1
ISIC_0053828,1
ISIC_0053831,0
ISIC_0053833,0
ISIC_0053838,0
ISIC_0053841,1
ISIC_0053842,0
ISIC_0053843,1
ISIC_0053845,0
ISIC_0053851,0
ISIC_0053854,1
ISIC_0053870,0
ISIC_0053871,0
ISIC_0053880,0
ISIC_0053881,0
ISIC_0053883,0
ISIC_0053884,1
ISIC_0053891,1
ISIC_0053894,0
ISIC_0053896,0
ISIC_0053915,0
ISIC_0053916,1
ISIC_0053931,0
ISIC_0053937,0
ISIC_0053940,0
ISIC_0053945,1
ISIC_0053947,1
ISIC_0053948,0
ISIC_0053959,0
ISIC_0053960,1
ISIC_0053970,0
ISIC_0053971,1
ISIC_0053973,1
ISIC_0053975,0
ISIC_0053980,1
ISIC_0053982,0
ISIC_0053983,0
ISIC_0053992,0
ISIC_0053996,1
ISIC_0053998,0
ISIC_0054006,1
ISIC_0054008,0
ISIC_0054012,0
ISIC_0054021,1
ISIC_0054024,1
ISIC_0054025,1
ISIC_0054027,0
ISIC_0054038,1
ISIC_0054039,0
ISIC_0054043,1
ISIC_0054044,0
ISIC_0054046,0
ISIC_0054048,1
ISIC_0054050,0
ISIC_0054053,1
ISIC_0054056,0
ISIC_0054062,1
ISIC_0054066,0
ISIC_0054070,1
ISIC_0054073,1
ISIC_0054079,1
ISIC_0054083,0
ISIC_0054087,1
ISIC_0054089,1
ISIC_0054090,1
ISIC_0054100,0
ISIC_0054107,0
ISIC_0054108,0
