image_id,class
ISIC_0053464,0
ISIC_0053482,0
ISIC_0053531,1
ISIC_0053579,0
ISIC_0053588,0
ISIC_0053629,0
ISIC_0053641,0
ISIC_0053659,1
ISIC_0053677,0
ISIC_0053696,0
ISIC_0053710,0
ISIC_0053753,0
ISIC_0053807,0
ISIC_0053811,0
ISIC_0053821,0
ISIC_0053846,1
ISIC_0053874,0
ISIC_0053886,0
ISIC_0053890,0
ISIC_0053920,0
ISIC_0053922,0
ISIC_0053929,0
ISIC_0053952,0
ISIC_0053985,1
ISIC_0054022,0
ISIC_0054041,0
ISIC_0054069,0
ISIC_0054104,0
ISIC_0054105,0
ISIC_0054192,0
ISIC_0054245,0
ISIC_0054270,0
ISIC_0054286,0
ISIC_0054304,0
ISIC_0054357,0
ISIC_0054418,0
ISIC_0054475,0
ISIC_0054478,0
ISIC_0054480,0
ISIC_0054508,0
ISIC_0054509,0
ISIC_0054554,0
ISIC_0054586,0
ISIC_0054597,0
ISIC_0054608,0
ISIC_0054631,0
ISIC_0054639,0
ISIC_0054650,0
ISIC_0054704,0
ISIC_0054711,0
ISIC_0054732,0
ISIC_0054814,0
ISIC_0054865,0
ISIC_0054869,0
ISIC_0054901,0
ISIC_0054943,0
ISIC_0054948,0
ISIC_0054962,0
ISIC_0055004,0
ISIC_0055008,1
ISIC_0055013,0
ISIC_0055047,0
ISIC_0055061,0
ISIC_0055077,0
ISIC_0055120,0
ISIC_0055133,0
ISIC_0055181,1
ISIC_0055187,0
ISIC_0055188,0
ISIC_0055214,0
ISIC_0055222,0
ISIC_0055233,0
ISIC_0055283,0
ISIC_0055301,0
ISIC_0055416,0
ISIC_0055443,0
ISIC_0055488,0
ISIC_0055533,0
ISIC_0055577,0
ISIC_0055581,0
ISIC_0055591,0
ISIC_0055603,0
ISIC_0055621,0
ISIC_0055626,0
ISIC_0055669,0
ISIC_0055680,1
ISIC_0055695,0
ISIC_0055702,0
ISIC_0055715,0
ISIC_0055719,0
ISIC_0055749,0
ISIC_0055835,0
ISIC_0055845,0
ISIC_0055851,0
ISIC_0055856,0
ISIC_0055860,0
ISIC_0055863,0
ISIC_0055885,0
ISIC_0055903,0
ISIC_0055909,0
ISIC_0055910,0
ISIC_0055926,0
ISIC_0055981,0
ISIC_0056012,0
ISIC_0056055,0
ISIC_0056113,1
ISIC_0056155,0
ISIC_0056165,0
ISIC_0056188,0
ISIC_0056197,0
ISIC_0056203,0
ISIC_0056226,1
ISIC_0056270,0
ISIC_0056286,0
ISIC_0056304,0
ISIC_0056327,0
ISIC_0056334,0
ISIC_0056348,0
ISIC_0056357,0
ISIC_0056370,0
ISIC_0056400,0
ISIC_0056442,0
ISIC_0056458,0
ISIC_0056461,0
ISIC_0056466,0
ISIC_0056541,0
ISIC_0056555,0
ISIC_0056565,0
ISIC_0056575,0
ISIC_0056583,0
ISIC_0056617,0
ISIC_0056618,0
ISIC_0056648,0
ISIC_0056656,0
ISIC_0056679,0
ISIC_0056698,0
ISIC_0056710,1
ISIC_0056811,0
ISIC_0056850,0
ISIC_0056872,0
ISIC_0056890,0
ISIC_0056921,1
ISIC_0056930,0
ISIC_0056943,0
ISIC_0056949,0
ISIC_0057005,0
ISIC_0057011,0
ISIC_0057014,0
ISIC_0057017,0
ISIC_0057028,0
ISIC_0057035,0
ISIC_0057055,0
ISIC_0057066,0
ISIC_0057092,0
ISIC_0057133,0
ISIC_0057162,0
ISIC_0057165,0
ISIC_0057167,0
ISIC_0057184,0
ISIC_0057185,0
