image_id,class
ISIC_0053469,1
ISIC_0053473,1
ISIC_0053491,1
ISIC_0053505,0
ISIC_0053510,1
ISIC_0053521,0
ISIC_0053529,0
ISIC_0053555,1
ISIC_0053644,1
ISIC_0053758,0
ISIC_0053761,1
ISIC_0053763,1
ISIC_0053783,0
ISIC_0053784,1
ISIC_0053790,1
ISIC_0053791,1
ISIC_0053839,1
ISIC_0053861,0
ISIC_0053877,0
ISIC_0053909,1
ISIC_0053918,0
ISIC_0053933,1
ISIC_0053953,1
ISIC_0054085,1
ISIC_0054119,0
ISIC_0054123,1
ISIC_0054159,1
ISIC_0054184,0
ISIC_0054226,1
ISIC_0054273,0
ISIC_0054274,1
ISIC_0054288,1
ISIC_0054302,1
ISIC_0054318,0
ISIC_0054329,1
ISIC_0054332,1
ISIC_0054350,1
ISIC_0054351,1
ISIC_0054377,1
ISIC_0054385,1
ISIC_0054395,1
ISIC_0054465,1
ISIC_0054497,1
ISIC_0054502,0
ISIC_0054520,1
ISIC_0054527,1
ISIC_0054573,1
ISIC_0054587,0
ISIC_0054599,1
ISIC_0054738,0
ISIC_0054756,1
ISIC_0054758,0
ISIC_0054787,1
ISIC_0054793,1
ISIC_0054815,0
ISIC_0054841,0
ISIC_0054844,1
ISIC_0054851,1
ISIC_0054852,1
ISIC_0054859,1
ISIC_0054906,1
ISIC_0054912,1
ISIC_0054933,0
ISIC_0054944,0
ISIC_0054958,0
ISIC_0054979,1
ISIC_0055003,1
ISIC_0055042,0
ISIC_0055046,1
ISIC_0055051,1
ISIC_0055066,0
ISIC_0055087,1
ISIC_0055091,1
ISIC_0055132,0
ISIC_0055148,0
ISIC_0055179,1
ISIC_0055198,0
ISIC_0055205,1
ISIC_0055251,0
ISIC_0055285,0
ISIC_0055287,1
ISIC_0055315,0
ISIC_0055326,0
ISIC_0055367,1
ISIC_0055378,1
ISIC_0055385,0
ISIC_0055395,0
ISIC_0055450,1
ISIC_0055454,1
ISIC_0055464,1
ISIC_0055465,1
ISIC_0055468,1
ISIC_0055474,1
ISIC_0055492,1
ISIC_0055501,0
ISIC_0055526,1
ISIC_0055528,1
ISIC_0055623,1
ISIC_0055649,0
ISIC_0055658,0
ISIC_0055660,1
ISIC_0055661,0
ISIC_0055675,1
ISIC_0055720,1
ISIC_0055731,0
ISIC_0055743,1
ISIC_0055802,1
ISIC_0055803,1
ISIC_0055810,1
ISIC_0055820,1
ISIC_0055825,1
ISIC_0055866,0
ISIC_0055880,0
ISIC_0055888,0
