image_id,class
ISIC_0029913,1
ISIC_0025081,1
ISIC_0026369,1
ISIC_0025489,1
ISIC_0030575,1
ISIC_0034118,1
ISIC_0033804,1
ISIC_0033154,1
ISIC_0034222,1
ISIC_0033180,1
ISIC_0033980,1
ISIC_0032603,1
ISIC_0032723,1
ISIC_0032982,1
ISIC_0033061,1
ISIC_0025708,1
ISIC_0026438,1
ISIC_0029397,1
ISIC_0028760,1
ISIC_0028003,1
ISIC_0026094,1
ISIC_0029033,1
ISIC_0031146,1
ISIC_0024918,1
ISIC_0025161,0
ISIC_0031164,0
ISIC_0029997,0
ISIC_0028682,0
ISIC_0029112,0
ISIC_0030128,0
ISIC_0026137,0
ISIC_0026075,0
ISIC_0025328,0
ISIC_0024901,0
ISIC_0028836,0
ISIC_0029699,0
ISIC_0025861,0
ISIC_0032228,0
ISIC_0027157,0
ISIC_0027472,0
ISIC_0027646,0
ISIC_0026051,0
ISIC_0028184,0
ISIC_0025607,0
ISIC_0027938,0
ISIC_0030206,0
ISIC_0029381,0
ISIC_0025678,0
ISIC_0028349,0
ISIC_0032133,0
ISIC_0031256,0
ISIC_0032071,0
ISIC_0024815,0
ISIC_0031800,0
ISIC_0027566,0
ISIC_0024501,0
ISIC_0031173,0
ISIC_0026415,0
ISIC_0025738,0
ISIC_0026201,0
ISIC_0030570,0
ISIC_0026243,0
ISIC_0026470,0
ISIC_0025359,0
ISIC_0025246,0
ISIC_0028377,0
ISIC_0027910,0
ISIC_0025090,0
ISIC_0026449,0
ISIC_0025714,0
ISIC_0028275,0
ISIC_0025626,0
ISIC_0026683,0
ISIC_0031089,0
ISIC_0029009,0
ISIC_0025917,0
ISIC_0029921,0
ISIC_0024388,0
ISIC_0032469,0
ISIC_0025058,0
ISIC_0030763,0
ISIC_0032401,0
ISIC_0030252,0
ISIC_0024528,0
ISIC_0026102,0
ISIC_0024699,0
ISIC_0029240,0
ISIC_0027611,0
ISIC_0024347,0
ISIC_0030046,0
ISIC_0028606,0
ISIC_0030489,0
ISIC_0030917,0
ISIC_0024483,0
ISIC_0029134,0
ISIC_0027532,0
ISIC_0027070,0
ISIC_0026732,0
ISIC_0027979,0
ISIC_0032147,0
ISIC_0025679,0
ISIC_0026019,0
ISIC_0030055,0
ISIC_0029097,0
ISIC_0029646,0
ISIC_0025977,0
ISIC_0026880,0
ISIC_0029584,0
ISIC_0032440,0
ISIC_0031054,0
ISIC_0029817,0
ISIC_0031826,0
ISIC_0024341,0
ISIC_0027079,0
ISIC_0032448,0
ISIC_0029468,0
ISIC_0030622,0
ISIC_0029376,0
ISIC_0029952,0
ISIC_0030641,0
ISIC_0027862,0
ISIC_0029326,0
ISIC_0025151,0
ISIC_0028852,0
ISIC_0024703,0
ISIC_0029761,0
ISIC_0030027,0
ISIC_0028064,0
ISIC_0032256,0
ISIC_0030702,0
ISIC_0024401,0
ISIC_0028835,0
ISIC_0030044,0
ISIC_0031732,0
ISIC_0030048,0
ISIC_0029936,0
ISIC_0024754,0
ISIC_0030854,0
ISIC_0027168,0
ISIC_0025498,0
ISIC_0025329,0
ISIC_0029834,0
ISIC_0025070,0
ISIC_0027877,0
ISIC_0031910,0
ISIC_0030437,0
ISIC_0027341,0
ISIC_0027177,0
ISIC_0027728,0
ISIC_0027176,0
ISIC_0026116,0
ISIC_0024812,0
ISIC_0027750,0
ISIC_0028743,0
ISIC_0027773,0
ISIC_0032001,0
ISIC_0026059,0
ISIC_0025787,0
ISIC_0031183,0
ISIC_0030587,0
ISIC_0028844,0
ISIC_0025523,0
ISIC_0029096,0
ISIC_0030162,0
ISIC_0028286,0
ISIC_0025115,0
ISIC_0027842,0
ISIC_0028630,0
ISIC_0029777,0
ISIC_0031420,0
ISIC_0030656,0
ISIC_0028435,0
ISIC_0028526,0
ISIC_0029907,0
ISIC_0026390,0
ISIC_0028295,0
ISIC_0032354,0
ISIC_0032465,0
ISIC_0026785,0
ISIC_0025399,0
ISIC_0025229,0
ISIC_0028956,0
ISIC_0026288,0
ISIC_0026121,0
ISIC_0028073,0
ISIC_0026756,0
ISIC_0024728,0
ISIC_0026943,0
ISIC_0029077,0
ISIC_0028614,0
ISIC_0030739,0
ISIC_0028605,0
ISIC_0025418,0
ISIC_0032077,0
ISIC_0030611,0
ISIC_0027363,0
ISIC_0027414,0
ISIC_0027778,0
ISIC_0027123,0
ISIC_0030619,0
ISIC_0030453,0
ISIC_0030157,0
ISIC_0026176,0
ISIC_0030497,0
ISIC_0031497,0
ISIC_0031673,0
ISIC_0027986,0
ISIC_0029069,0
ISIC_0024655,0
ISIC_0028334,0
ISIC_0030020,0
ISIC_0027952,0
ISIC_0028178,0
ISIC_0025177,0
ISIC_0028247,0
ISIC_0027757,0
ISIC_0028791,0
ISIC_0026730,0
ISIC_0032363,0
ISIC_0030980,0
ISIC_0030629,0
ISIC_0028576,0
ISIC_0028918,0
ISIC_0027198,0
ISIC_0032985,1
ISIC_0026666,0
ISIC_0024934,0
ISIC_0027662,0
ISIC_0027031,0
ISIC_0031293,0
ISIC_0030064,0
ISIC_0027861,0
ISIC_0031817,0
ISIC_0028636,0
ISIC_0024855,0
ISIC_0027209,0
ISIC_0025370,0
ISIC_0030930,0
ISIC_0029402,0
ISIC_0032309,0
ISIC_0029846,0
ISIC_0030979,0
ISIC_0027709,0
ISIC_0027548,0
ISIC_0028961,0
ISIC_0028045,0
ISIC_0029435,0
ISIC_0028098,0
ISIC_0030859,0
ISIC_0033745,0
ISIC_0033356,0
ISIC_0032691,0
ISIC_0032007,0
ISIC_0030845,0
ISIC_0025619,0
ISIC_0025456,0
ISIC_0027087,0
ISIC_0032590,0
ISIC_0034267,0
ISIC_0034110,0
ISIC_0025239,0
ISIC_0034234,0
ISIC_0033331,0
ISIC_0030546,0
ISIC_0026177,0
ISIC_0026979,0
ISIC_0025713,0
ISIC_0027250,0
ISIC_0031466,0
ISIC_0031694,0
ISIC_0027432,0
ISIC_0026883,0
