image_id,class
ISIC_0024698,0
ISIC_0030417,1
ISIC_0032248,1
ISIC_0030486,1
ISIC_0032214,1
ISIC_0028069,1
ISIC_0025277,1
ISIC_0026754,1
ISIC_0032308,1
ISIC_0032244,1
ISIC_0028901,1
ISIC_0030759,1
ISIC_0029163,1
ISIC_0024624,1
ISIC_0025674,1
ISIC_0024972,1
ISIC_0031972,1
ISIC_0027261,1
ISIC_0027651,1
ISIC_0029241,1
ISIC_0031890,1
ISIC_0024875,1
ISIC_0027033,1
ISIC_0029884,1
ISIC_0027721,1
ISIC_0029726,1
ISIC_0028916,1
ISIC_0028029,1
ISIC_0028317,1
ISIC_0030324,1
ISIC_0026963,1
ISIC_0030681,1
ISIC_0027776,1
ISIC_0029909,1
ISIC_0033027,1
ISIC_0032017,1
ISIC_0032976,1
ISIC_0033947,1
ISIC_0033820,1
ISIC_0027100,1
ISIC_0030564,1
ISIC_0033240,1
ISIC_0032726,1
ISIC_0033317,1
ISIC_0033578,1
ISIC_0032940,1
ISIC_0032511,1
ISIC_0033630,1
ISIC_0033209,1
ISIC_0033624,1
ISIC_0033042,1
ISIC_0033469,1
ISIC_0031709,1
ISIC_0025531,1
ISIC_0030031,1
ISIC_0032730,1
ISIC_0033344,1
ISIC_0033812,1
ISIC_0032698,1
ISIC_0033670,1
ISIC_0033878,1
ISIC_0033520,1
ISIC_0034062,1
ISIC_0033668,1
ISIC_0032807,1
ISIC_0034173,1
ISIC_0033752,1
ISIC_0030150,1
ISIC_0033089,1
ISIC_0027204,1
ISIC_0032987,1
ISIC_0031186,1
ISIC_0026268,1
ISIC_0026167,1
ISIC_0029316,1
ISIC_0027552,1
ISIC_0027793,1
ISIC_0031999,1
ISIC_0029843,1
ISIC_0024571,1
ISIC_0027328,1
ISIC_0030382,1
ISIC_0029146,1
ISIC_0032420,1
ISIC_0028418,1
ISIC_0027442,1
ISIC_0026811,1
ISIC_0026604,1
ISIC_0027071,1
ISIC_0032430,1
ISIC_0029958,1
ISIC_0025543,1
ISIC_0026738,1
ISIC_0032149,1
ISIC_0031931,1
ISIC_0028220,1
ISIC_0026735,1
ISIC_0031303,1
ISIC_0028075,1
ISIC_0032389,1
ISIC_0025775,0
ISIC_0025251,0
ISIC_0027585,0
ISIC_0032211,0
ISIC_0028639,0
ISIC_0028196,0
ISIC_0026836,0
ISIC_0024863,0
ISIC_0026936,0
ISIC_0027356,0
ISIC_0026136,0
ISIC_0027331,0
ISIC_0024374,0
ISIC_0031714,0
ISIC_0025822,0
ISIC_0031156,0
ISIC_0029798,0
ISIC_0025087,0
ISIC_0030307,0
ISIC_0026478,0
ISIC_0027016,0
ISIC_0024588,0
ISIC_0028997,0
ISIC_0032502,0
ISIC_0027273,0
ISIC_0025258,0
ISIC_0029073,0
ISIC_0024460,0
ISIC_0024536,0
ISIC_0028398,0
ISIC_0026088,0
ISIC_0027524,0
ISIC_0029262,0
ISIC_0032295,0
ISIC_0030153,0
ISIC_0029939,0
ISIC_0030218,0
ISIC_0028946,0
ISIC_0029105,0
ISIC_0025134,0
ISIC_0029534,0
ISIC_0030640,0
ISIC_0032376,0
ISIC_0026140,0
ISIC_0028633,0
ISIC_0029985,0
ISIC_0029389,0
ISIC_0031646,0
ISIC_0026501,0
ISIC_0027768,0
ISIC_0029254,0
ISIC_0028804,0
ISIC_0025094,0
ISIC_0027421,0
ISIC_0026055,0
ISIC_0031674,0
ISIC_0025610,0
ISIC_0029728,0
ISIC_0028214,0
ISIC_0030429,0
ISIC_0033242,0
ISIC_0033648,0
ISIC_0033069,0
ISIC_0032749,0
ISIC_0034153,0
ISIC_0033803,0
ISIC_0032974,0
ISIC_0033914,0
ISIC_0032574,0
ISIC_0033703,0
ISIC_0033015,0
ISIC_0030504,0
ISIC_0030116,0
ISIC_0030945,0
ISIC_0031510,0
ISIC_0031603,0
ISIC_0029589,0
ISIC_0025742,0
ISIC_0031354,0
ISIC_0030819,0
ISIC_0026615,0
ISIC_0029528,0
ISIC_0029438,0
ISIC_0031353,0
ISIC_0025960,0
ISIC_0027237,0
ISIC_0025946,0
ISIC_0024963,0
ISIC_0030544,0
ISIC_0024425,0
ISIC_0026226,0
ISIC_0026655,0
ISIC_0030416,0
ISIC_0027568,0
ISIC_0025476,0
ISIC_0026610,0
ISIC_0028580,0
ISIC_0026964,0
ISIC_0026786,0
ISIC_0027242,0
ISIC_0029026,0
ISIC_0028310,0
ISIC_0029174,0
ISIC_0030598,0
ISIC_0026111,0
ISIC_0028588,0
ISIC_0030580,0
ISIC_0025027,0
ISIC_0030940,0
ISIC_0029208,0
ISIC_0028596,0
ISIC_0028562,0
ISIC_0030589,0
ISIC_0026742,0
ISIC_0032008,0
ISIC_0030358,0
ISIC_0030086,0
ISIC_0032575,0
ISIC_0031359,0
ISIC_0030693,0
