image_id,class
ISIC_0029512,1
ISIC_0029216,1
ISIC_0034262,1
ISIC_0034005,1
ISIC_0032509,1
ISIC_0032656,1
ISIC_0033024,1
ISIC_0033498,1
ISIC_0033999,1
ISIC_0031565,1
ISIC_0027171,1
ISIC_0029170,1
ISIC_0030950,1
ISIC_0032433,1
ISIC_0032287,1
ISIC_0032212,0
ISIC_0026824,0
ISIC_0024968,0
ISIC_0024896,0
ISIC_0025585,0
ISIC_0025079,0
ISIC_0024327,0
ISIC_0025365,0
ISIC_0027429,0
ISIC_0031099,0
ISIC_0028282,0
ISIC_0028827,0
ISIC_0028812,0
ISIC_0025120,0
ISIC_0029604,0
ISIC_0028967,0
ISIC_0031699,0
ISIC_0028705,0
ISIC_0029950,0
ISIC_0024556,0
ISIC_0032288,0
ISIC_0027333,0
ISIC_0025146,0
ISIC_0026980,0
ISIC_0028721,0
ISIC_0030285,0
ISIC_0031637,0
ISIC_0030193,0
ISIC_0024322,0
ISIC_0024379,0
ISIC_0024555,0
ISIC_0024765,0
ISIC_0030099,0
ISIC_0030668,0
ISIC_0027405,0
ISIC_0029550,0
ISIC_0025493,0
ISIC_0028745,0
ISIC_0029639,0
ISIC_0028208,0
ISIC_0031104,0
ISIC_0030291,0
ISIC_0031724,0
ISIC_0026224,0
ISIC_0026965,0
ISIC_0030342,0
ISIC_0027785,0
ISIC_0031244,0
ISIC_0028729,0
ISIC_0029483,0
ISIC_0024405,0
ISIC_0029866,0
ISIC_0026484,0
ISIC_0030163,0
ISIC_0028492,0
ISIC_0029649,0
ISIC_0028074,0
ISIC_0031855,0
ISIC_0027380,0
ISIC_0027641,0
ISIC_0026685,0
ISIC_0028521,0
ISIC_0030309,0
ISIC_0030895,0
ISIC_0027913,0
ISIC_0028206,0
ISIC_0024442,0
ISIC_0030212,0
ISIC_0026612,0
ISIC_0031129,0
ISIC_0029590,0
ISIC_0029451,0
ISIC_0029935,0
ISIC_0029237,0
ISIC_0024764,0
ISIC_0027015,0
ISIC_0030071,0
ISIC_0031280,0
ISIC_0026077,0
ISIC_0026284,0
ISIC_0028867,0
ISIC_0025283,0
ISIC_0027918,0
ISIC_0028153,0
ISIC_0025342,0
ISIC_0029551,0
ISIC_0028713,0
ISIC_0027845,0
ISIC_0025999,0
ISIC_0031765,0
ISIC_0031818,0
ISIC_0029124,0
ISIC_0027685,0
ISIC_0027635,0
ISIC_0026464,0
ISIC_0026863,0
ISIC_0030029,0
ISIC_0024533,0
ISIC_0024628,0
ISIC_0031768,0
ISIC_0027985,0
ISIC_0027581,0
ISIC_0029965,0
ISIC_0026375,0
ISIC_0030515,0
ISIC_0029461,0
ISIC_0028311,0
ISIC_0027280,0
ISIC_0030662,0
ISIC_0030958,0
ISIC_0030848,0
ISIC_0031860,0
ISIC_0026010,0
ISIC_0031241,0
ISIC_0030676,0
ISIC_0029635,0
ISIC_0031333,0
ISIC_0031916,0
ISIC_0030430,0
ISIC_0026833,0
ISIC_0030431,0
ISIC_0025380,0
ISIC_0027088,0
ISIC_0030600,0
ISIC_0028129,0
ISIC_0029098,0
ISIC_0031147,0
ISIC_0027628,0
ISIC_0026180,0
ISIC_0024988,0
ISIC_0029310,0
ISIC_0027515,0
ISIC_0032023,0
ISIC_0028293,0
ISIC_0027249,0
ISIC_0029653,0
ISIC_0025672,0
ISIC_0031733,0
ISIC_0027679,0
ISIC_0030874,0
ISIC_0028385,0
ISIC_0030793,0
ISIC_0027907,0
ISIC_0030406,0
ISIC_0025631,0
ISIC_0026186,0
ISIC_0032910,0
ISIC_0033859,0
ISIC_0029662,0
ISIC_0032679,0
ISIC_0032568,0
ISIC_0032999,0
ISIC_0033833,0
ISIC_0034292,0
ISIC_0033558,0
ISIC_0032584,0
ISIC_0033867,0
ISIC_0033880,0
ISIC_0033955,0
ISIC_0033993,0
ISIC_0029306,0
ISIC_0025267,0
ISIC_0026328,0
ISIC_0031645,0
ISIC_0027285,0
ISIC_0025381,0
ISIC_0024503,0
ISIC_0027519,0
ISIC_0030990,0
ISIC_0028706,0
ISIC_0031756,0
ISIC_0024406,0
ISIC_0030967,0
ISIC_0030675,0
ISIC_0031285,0
ISIC_0029926,0
ISIC_0030525,0
ISIC_0025563,0
ISIC_0028675,0
ISIC_0031451,0
ISIC_0028589,0
ISIC_0029975,0
ISIC_0024926,0
ISIC_0025424,0
ISIC_0027181,0
ISIC_0024356,0
ISIC_0024781,0
ISIC_0027889,0
ISIC_0031662,0
ISIC_0025000,0
ISIC_0028139,0
ISIC_0031107,0
ISIC_0030451,0
ISIC_0030198,0
ISIC_0029671,0
ISIC_0031064,0
ISIC_0032236,0
ISIC_0026991,0
ISIC_0029792,0
ISIC_0026182,0
ISIC_0026190,0
ISIC_0034043,0
ISIC_0029401,0
