image_id,class
ISIC_0032616,0
ISIC_0027304,0
ISIC_0030764,0
ISIC_0028848,0
ISIC_0032196,0
ISIC_0032326,0
ISIC_0034071,1
ISIC_0029734,0
ISIC_0032237,0
ISIC_0033104,0
ISIC_0031038,0
ISIC_0027315,0
ISIC_0030190,0
ISIC_0028481,1
ISIC_0029628,0
ISIC_0029673,0
ISIC_0028627,0
ISIC_0025449,0
ISIC_0027959,0
ISIC_0024769,0
ISIC_0025375,0
ISIC_0027949,0
ISIC_0025059,0
ISIC_0029079,0
ISIC_0027290,0
ISIC_0032739,0
ISIC_0025535,0
ISIC_0024663,0
ISIC_0024776,0
ISIC_0033919,0
ISIC_0025817,0
ISIC_0024716,0
ISIC_0033286,1
ISIC_0025686,0
ISIC_0028297,0
ISIC_0029429,0
ISIC_0027165,0
ISIC_0029058,0
ISIC_0025956,0
ISIC_0029695,0
ISIC_0034163,0
ISIC_0034225,0
ISIC_0033388,0
ISIC_0031549,0
ISIC_0029725,0
ISIC_0028089,0
ISIC_0028134,0
ISIC_0027492,0
ISIC_0026594,0
ISIC_0031097,0
ISIC_0025105,1
ISIC_0027075,0
ISIC_0027622,1
ISIC_0030851,0
ISIC_0030293,0
ISIC_0030376,0
ISIC_0032474,0
ISIC_0026851,0
ISIC_0028005,0
ISIC_0027427,0
ISIC_0030977,0
ISIC_0032075,0
ISIC_0025595,0
ISIC_0028092,0
ISIC_0027317,0
ISIC_0026246,0
ISIC_0026582,0
ISIC_0031938,0
ISIC_0025428,0
ISIC_0026164,0
ISIC_0029275,0
ISIC_0030235,0
ISIC_0033651,1
ISIC_0030419,0
ISIC_0029294,0
ISIC_0029565,0
ISIC_0026885,0
ISIC_0026120,1
ISIC_0026355,0
ISIC_0024361,0
ISIC_0031564,0
ISIC_0031403,0
ISIC_0024648,0
ISIC_0030985,0
ISIC_0030320,0
ISIC_0029442,0
ISIC_0026565,0
ISIC_0031514,0
ISIC_0030643,0
ISIC_0031077,1
ISIC_0027422,0
ISIC_0030279,0
ISIC_0025597,0
ISIC_0027761,0
ISIC_0024465,0
ISIC_0027901,0
ISIC_0026797,0
ISIC_0030627,0
ISIC_0024659,0
ISIC_0030750,0
ISIC_0024785,0
ISIC_0024842,0
ISIC_0031657,0
ISIC_0031868,0
ISIC_0027694,0
ISIC_0025334,0
ISIC_0033142,0
ISIC_0024419,0
ISIC_0028574,0
ISIC_0026209,0
ISIC_0026632,0
ISIC_0033186,1
ISIC_0033411,0
ISIC_0032367,0
ISIC_0030201,0
ISIC_0025532,0
ISIC_0032289,0
ISIC_0026617,0
ISIC_0032064,0
ISIC_0030391,1
ISIC_0027491,0
ISIC_0029415,0
ISIC_0031393,0
ISIC_0025969,0
ISIC_0024990,0
ISIC_0032145,0
ISIC_0026202,0
ISIC_0027860,0
ISIC_0025459,0
ISIC_0028668,0
ISIC_0028529,0
ISIC_0033663,1
ISIC_0027742,1
ISIC_0025360,0
ISIC_0030903,0
ISIC_0033231,0
ISIC_0028253,0
ISIC_0028912,0
ISIC_0025614,0
ISIC_0028935,0
ISIC_0031269,0
ISIC_0032930,0
ISIC_0030084,0
ISIC_0027717,0
ISIC_0029116,0
ISIC_0027892,0
ISIC_0028053,0
ISIC_0034281,0
ISIC_0027784,0
ISIC_0028892,0
ISIC_0030368,0
ISIC_0029114,0
ISIC_0032920,0
ISIC_0028136,0
ISIC_0029338,0
ISIC_0029047,0
ISIC_0024606,0
ISIC_0031541,0
ISIC_0027731,0
ISIC_0028624,0
ISIC_0028408,0
ISIC_0030385,0
ISIC_0030638,0
ISIC_0027450,0
ISIC_0028732,0
ISIC_0027182,0
ISIC_0029619,0
ISIC_0031313,0
ISIC_0034122,0
ISIC_0026806,0
ISIC_0025765,0
ISIC_0026377,0
ISIC_0030667,0
ISIC_0030552,1
ISIC_0027881,0
ISIC_0024729,1
ISIC_0029697,0
ISIC_0033432,1
ISIC_0026485,0
ISIC_0028337,0
ISIC_0033132,0
ISIC_0030498,0
ISIC_0027821,0
ISIC_0032066,0
ISIC_0030624,0
ISIC_0026505,0
ISIC_0030929,1
ISIC_0029423,0
ISIC_0028824,0
ISIC_0026145,0
ISIC_0032274,0
ISIC_0027309,0
ISIC_0026960,0
ISIC_0030418,0
ISIC_0026410,0
ISIC_0033851,0
ISIC_0028722,0
ISIC_0030292,0
ISIC_0026294,0
ISIC_0025828,0
ISIC_0030754,1
ISIC_0033834,1
ISIC_0025925,0
ISIC_0033292,0
ISIC_0026475,1
ISIC_0025988,0
ISIC_0028366,0
ISIC_0027190,1
ISIC_0033406,0
ISIC_0029137,0
ISIC_0030573,0
ISIC_0032374,0
ISIC_0027899,0
ISIC_0030773,0
ISIC_0028779,0
ISIC_0032357,0
ISIC_0027830,0
ISIC_0026507,0
ISIC_0027430,0
ISIC_0030018,0
ISIC_0030022,0
ISIC_0026557,0
ISIC_0029721,0
ISIC_0030824,1
ISIC_0028859,0
ISIC_0027807,0
ISIC_0027992,0
ISIC_0027252,0
ISIC_0026096,0
ISIC_0028440,0
ISIC_0027111,0
ISIC_0028455,0
ISIC_0030908,0
ISIC_0031505,0
ISIC_0025717,0
ISIC_0029587,0
ISIC_0026838,0
ISIC_0028270,0
ISIC_0030852,0
ISIC_0026303,0
ISIC_0032011,0
ISIC_0026721,0
ISIC_0031628,0
ISIC_0028811,0
ISIC_0024989,0
ISIC_0029509,0
ISIC_0030817,0
ISIC_0027971,0
ISIC_0031675,0
ISIC_0029979,0
ISIC_0027461,0
ISIC_0028342,0
ISIC_0024869,0
ISIC_0027810,0
ISIC_0025313,1
ISIC_0029964,0
ISIC_0030136,0
ISIC_0029972,0
ISIC_0025832,1
ISIC_0028975,0
ISIC_0028368,0
ISIC_0028040,0
ISIC_0028093,0
ISIC_0031949,0
ISIC_0033925,1
ISIC_0027929,0
ISIC_0025967,0
ISIC_0031018,0
ISIC_0025236,0
ISIC_0026605,0
ISIC_0028462,0
ISIC_0027482,0
ISIC_0032630,1
ISIC_0024993,0
ISIC_0025049,0
ISIC_0027610,0
ISIC_0029690,0
ISIC_0030205,0
ISIC_0031616,0
ISIC_0029883,0
ISIC_0033370,0
ISIC_0030562,0
ISIC_0029743,0
ISIC_0027457,0
ISIC_0025463,0
ISIC_0030777,0
ISIC_0027693,1
ISIC_0025361,0
ISIC_0031471,0
ISIC_0028572,0
ISIC_0031590,0
ISIC_0027765,0
ISIC_0029063,0
ISIC_0032193,0
ISIC_0029382,0
ISIC_0031979,0
ISIC_0024980,0
ISIC_0028616,0
ISIC_0030815,0
ISIC_0026233,0
ISIC_0027391,0
ISIC_0033704,1
ISIC_0026681,0
ISIC_0026969,0
ISIC_0027812,0
ISIC_0033559,1
ISIC_0031983,0
ISIC_0032822,0
ISIC_0026671,0
ISIC_0029984,0
ISIC_0027496,0
ISIC_0030760,1
ISIC_0030089,1
ISIC_0029252,0
ISIC_0026985,0
ISIC_0024518,0
ISIC_0030016,0
ISIC_0033957,1
ISIC_0025347,0
ISIC_0032184,0
ISIC_0030257,0
ISIC_0024846,0
ISIC_0033510,0
ISIC_0025028,0
ISIC_0030855,0
ISIC_0025230,0
ISIC_0030090,0
ISIC_0032224,0
ISIC_0028077,0
ISIC_0031543,1
ISIC_0028383,0
ISIC_0029142,0
ISIC_0030366,1
ISIC_0024531,0
ISIC_0028160,0
ISIC_0029318,1
ISIC_0030161,0
ISIC_0032958,1
ISIC_0031562,0
ISIC_0027318,0
ISIC_0029520,0
ISIC_0030518,0
ISIC_0029632,1
ISIC_0028694,0
