image_id,class
ISIC_0011411,0
ISIC_0011412,0
ISIC_0011414,0
ISIC_0011415,0
ISIC_0011420,0
ISIC_0011421,0
ISIC_0011428,1
ISIC_0011429,1
ISIC_0011430,1
ISIC_0011432,0
ISIC_0011434,1
ISIC_0011435,1
ISIC_0011436,1
ISIC_0011437,1
ISIC_0011440,0
ISIC_0011450,0
ISIC_0011451,0
ISIC_0011454,0
ISIC_0011455,0
ISIC_0011458,1
ISIC_0011459,1
ISIC_0011460,1
ISIC_0011463,1
ISIC_0011467,0
ISIC_0011468,0
ISIC_0011471,1
ISIC_0011473,1
ISIC_0011474,1
ISIC_0011480,1
ISIC_0011483,1
ISIC_0011484,1
ISIC_0011488,1
ISIC_0011489,1
ISIC_0011490,1
ISIC_0011491,1
ISIC_0011493,1
ISIC_0011494,1
ISIC_0011495,1
ISIC_0011496,1
ISIC_0011497,1
ISIC_0011498,1
ISIC_0011502,1
ISIC_0011503,1
ISIC_0011504,1
ISIC_0011505,1
ISIC_0011506,1
ISIC_0011507,1
ISIC_0011508,1
ISIC_0011512,1
ISIC_0011513,1
ISIC_0011514,1
ISIC_0011515,1
ISIC_0011516,1
ISIC_0011517,1
ISIC_0011518,1
ISIC_0011519,1
ISIC_0011520,1
ISIC_0011521,1
ISIC_0011526,1
ISIC_0011534,1
ISIC_0011537,1
ISIC_0011538,0
ISIC_0011553,0
ISIC_0011554,0
ISIC_0011555,0
ISIC_0011558,0
ISIC_0011559,0
ISIC_0011560,1
ISIC_0011565,0
ISIC_0011567,0
ISIC_0011568,0
ISIC_0011570,0
ISIC_0011572,0
ISIC_0011573,0
ISIC_0011575,0
ISIC_0011576,0
ISIC_0011579,1
ISIC_0011584,0
ISIC_0011586,0
ISIC_0011588,0
ISIC_0011594,1
ISIC_0011600,0
ISIC_0011602,0
ISIC_0011603,0
ISIC_0011604,0
ISIC_0011605,0
ISIC_0011612,0
ISIC_0011613,1
ISIC_0011614,1
ISIC_0011615,1
ISIC_0011616,1
ISIC_0011617,1
ISIC_0011619,0
ISIC_0011630,0
ISIC_0011635,0
ISIC_0011636,0
ISIC_0011643,0
ISIC_0011644,0
ISIC_0011649,1
ISIC_0011651,0
ISIC_0011652,0
ISIC_0011653,0
ISIC_0011654,0
ISIC_0011655,0
ISIC_0011656,0
ISIC_0011659,1
ISIC_0011662,0
ISIC_0011668,0
ISIC_0011669,0
ISIC_0011671,0
ISIC_0011672,0
ISIC_0011684,1
ISIC_0011685,0
ISIC_0011690,0
ISIC_0011691,1
ISIC_0011692,1
ISIC_0011693,1
ISIC_0011694,1
ISIC_0011695,1
ISIC_0011696,1
ISIC_0011697,1
ISIC_0011698,1
ISIC_0011699,1
ISIC_0011700,1
ISIC_0011701,1
ISIC_0011702,1
ISIC_0011703,1
ISIC_0011704,1
ISIC_0011712,0
ISIC_0011713,0
ISIC_0011718,0
ISIC_0011719,0
ISIC_0011721,0
ISIC_0011722,0
ISIC_0011727,0
ISIC_0011728,1
ISIC_0011729,1
ISIC_0011731,0
ISIC_0011734,0
ISIC_0011736,1
ISIC_0011738,0
ISIC_0011739,0
