image_id,class
ISIC_0011416,0
ISIC_0011438,1
ISIC_0011439,1
ISIC_0011479,0
ISIC_0011481,1
ISIC_0011482,1
ISIC_0011485,1
ISIC_0011486,1
ISIC_0011487,1
ISIC_0011509,1
ISIC_0011510,1
ISIC_0011541,0
ISIC_0011544,0
ISIC_0011545,0
ISIC_0011546,0
ISIC_0011561,0
ISIC_0011562,0
ISIC_0011563,0
ISIC_0011564,0
ISIC_0011569,0
ISIC_0011571,0
ISIC_0011577,0
ISIC_0011580,0
ISIC_0011581,0
ISIC_0011589,1
ISIC_0011590,1
ISIC_0011591,1
ISIC_0011599,0
ISIC_0011607,0
ISIC_0011611,0
ISIC_0011620,0
ISIC_0011621,0
ISIC_0011622,0
ISIC_0011657,0
ISIC_0011665,0
ISIC_0011673,0
ISIC_0011674,0
ISIC_0011679,0
ISIC_0011705,0
ISIC_0011706,0
ISIC_0011707,0
ISIC_0011711,1
ISIC_0011715,0
ISIC_0011732,0
ISIC_0011756,0
ISIC_0011780,1
ISIC_0011807,1
ISIC_0011808,1
ISIC_0011818,0
ISIC_0011828,0
ISIC_0011837,0
ISIC_0011838,0
ISIC_0011853,0
ISIC_0011881,0
ISIC_0011882,0
ISIC_0011883,0
ISIC_0011885,0
ISIC_0011886,0
ISIC_0011942,0
ISIC_0011943,1
ISIC_0011944,1
ISIC_0011954,0
ISIC_0011960,0
ISIC_0011970,0
ISIC_0011971,0
ISIC_0011972,0
ISIC_0011988,0
ISIC_0012007,0
ISIC_0012022,0
ISIC_0012023,0
ISIC_0012039,0
ISIC_0012053,0
ISIC_0012056,0
ISIC_0012062,0
ISIC_0012081,1
ISIC_0012082,1
ISIC_0012085,0
ISIC_0014682,0
ISIC_0014684,0
ISIC_0014685,0
ISIC_0014694,0
ISIC_0014713,0
ISIC_0014716,0
ISIC_0014720,0
ISIC_0014725,0
ISIC_0014740,0
ISIC_0014743,0
ISIC_0014746,0
ISIC_0014762,0
ISIC_0014763,0
ISIC_0014768,0
ISIC_0014780,0
ISIC_0014783,0
ISIC_0014786,0
ISIC_0014791,0
ISIC_0014807,0
ISIC_0014822,0
ISIC_0014825,0
ISIC_0014833,0
ISIC_0014836,0
ISIC_0014845,0
ISIC_0014846,0
ISIC_0014849,0
ISIC_0014862,1
ISIC_0014863,0
ISIC_0014910,0
ISIC_0014911,0
ISIC_0014915,0
ISIC_0014920,1
ISIC_0014921,0
ISIC_0014927,0
ISIC_0014928,1
ISIC_0014929,0
ISIC_0014930,0
ISIC_0014933,0
ISIC_0014937,0
ISIC_0014941,0
ISIC_0014947,0
ISIC_0014957,0
ISIC_0014959,0
ISIC_0014961,0
ISIC_0014964,0
ISIC_0014989,0
ISIC_0014992,0
ISIC_0015002,0
ISIC_0015007,0
ISIC_0015009,0
ISIC_0015011,0
ISIC_0015013,0
ISIC_0015016,0
ISIC_0015021,0
ISIC_0015023,0
ISIC_0015030,0
ISIC_0015037,0
ISIC_0015043,0
ISIC_0015057,0
ISIC_0015139,0
ISIC_0015140,0
ISIC_0015155,0
ISIC_0015160,0
ISIC_0015175,0
ISIC_0015176,0
ISIC_0015184,0
ISIC_0015204,1
ISIC_0015212,0
ISIC_0015217,0
ISIC_0015218,0
ISIC_0015223,0
ISIC_0015264,0
ISIC_0015283,0
ISIC_0015309,0
ISIC_0015310,0
ISIC_0015331,0
ISIC_0015355,0
ISIC_0015357,0
ISIC_0015360,0
ISIC_0015368,0
ISIC_0015390,0
ISIC_0015411,0
ISIC_0015419,0
ISIC_0015440,0
ISIC_0015466,0
ISIC_0015496,0
ISIC_0015625,0
ISIC_0015627,0
ISIC_0015636,0
ISIC_0015638,0
ISIC_0015641,0
ISIC_0009875,0
ISIC_0009877,0
ISIC_0009878,0
ISIC_0009879,0
ISIC_0009887,0
ISIC_0009888,0
ISIC_0009889,0
ISIC_0009894,1
ISIC_0009895,0
ISIC_0009896,0
ISIC_0009904,0
ISIC_0009905,1
ISIC_0009909,0
ISIC_0009912,0
ISIC_0009917,0
ISIC_0009920,0
ISIC_0009921,0
ISIC_0009923,0
ISIC_0009925,0
ISIC_0009928,0
ISIC_0009929,0
ISIC_0009930,0
ISIC_0009931,0
ISIC_0009932,0
ISIC_0009936,0
ISIC_0009942,0
ISIC_0009944,0
ISIC_0009945,0
ISIC_0009947,0
ISIC_0009956,0
ISIC_0009966,0
ISIC_0009967,0
ISIC_0009987,0
ISIC_0009988,0
ISIC_0009990,0
ISIC_0010002,0
ISIC_0010003,0
ISIC_0010009,0
ISIC_0010010,0
ISIC_0010059,0
ISIC_0010060,0
ISIC_0010063,0
ISIC_0010064,0
ISIC_0010070,0
ISIC_0010071,0
ISIC_0010074,0
ISIC_0010077,0
ISIC_0010086,0
ISIC_0010087,0
ISIC_0010092,0
ISIC_0010094,1
ISIC_0010124,0
ISIC_0010139,0
ISIC_0010142,0
ISIC_0010149,0
ISIC_0010150,0
ISIC_0010151,0
ISIC_0010157,0
ISIC_0010158,0
ISIC_0010159,0
ISIC_0010163,0
ISIC_0010169,0
ISIC_0010173,0
ISIC_0010176,0
ISIC_0010187,0
ISIC_0010195,0
ISIC_0010198,0
ISIC_0010205,0
ISIC_0010206,0
ISIC_0010219,0
ISIC_0010220,0
ISIC_0010225,1
ISIC_0010233,0
ISIC_0010254,0
ISIC_0010255,0
ISIC_0010256,0
ISIC_0010257,0
ISIC_0010262,0
ISIC_0010272,0
ISIC_0010281,0
ISIC_0010304,0
ISIC_0010312,0
ISIC_0010314,0
ISIC_0010315,0
ISIC_0010316,0
ISIC_0010317,0
ISIC_0010346,0
ISIC_0010347,0
ISIC_0010348,0
ISIC_0010350,1
ISIC_0010354,0
ISIC_0010362,0
ISIC_0010422,0
ISIC_0010439,0
ISIC_0010444,0
ISIC_0010445,0
ISIC_0010447,0
ISIC_0010448,0
ISIC_0010449,0
ISIC_0010463,0
ISIC_0010471,0
ISIC_0010472,0
ISIC_0010488,0
ISIC_0010492,0
ISIC_0010506,0
ISIC_0010508,0
ISIC_0010509,0
ISIC_0010510,0
ISIC_0010517,0
ISIC_0010518,0
ISIC_0010519,0
ISIC_0010520,0
ISIC_0010531,0
ISIC_0010552,0
ISIC_0010553,0
ISIC_0010557,0
ISIC_0010558,0
ISIC_0010563,0
ISIC_0010570,0
ISIC_0010571,0
ISIC_0010572,0
ISIC_0010573,0
ISIC_0010574,0
ISIC_0010581,0
ISIC_0010587,1
ISIC_0010589,0
ISIC_0010590,0
ISIC_0010601,0
ISIC_0010603,0
ISIC_0010604,0
ISIC_0010625,0
ISIC_0010626,0
ISIC_0010628,0
ISIC_0010636,0
ISIC_0010643,0
ISIC_0010646,0
ISIC_0010649,0
ISIC_0010651,0
ISIC_0010657,0
ISIC_0010662,0
ISIC_0010668,0
ISIC_0010676,0
ISIC_0010677,0
ISIC_0010682,0
ISIC_0010684,0
ISIC_0010703,0
ISIC_0010708,0
ISIC_0010727,0
ISIC_0010734,0
ISIC_0010747,0
ISIC_0010755,0
ISIC_0010756,0
ISIC_0010762,0
ISIC_0010771,0
ISIC_0010774,0
ISIC_0010776,0
ISIC_0010777,1
ISIC_0010798,0
ISIC_0010803,1
ISIC_0010804,0
ISIC_0010815,0
ISIC_0010816,0
ISIC_0010828,0
ISIC_0010829,0
ISIC_0010830,0
ISIC_0010831,0
ISIC_0010832,0
ISIC_0010833,0
ISIC_0010840,0
ISIC_0010841,0
ISIC_0010842,0
ISIC_0010848,0
ISIC_0010849,0
ISIC_0010850,0
ISIC_0010852,1
ISIC_0010864,0
ISIC_0010865,0
ISIC_0010867,0
ISIC_0010870,0
ISIC_0010875,0
ISIC_0010880,0
ISIC_0010881,0
ISIC_0010903,0
ISIC_0010904,0
ISIC_0010906,0
ISIC_0010911,0
ISIC_0010918,0
ISIC_0010926,0
ISIC_0010939,0
ISIC_0010940,0
ISIC_0010941,0
ISIC_0010948,0
ISIC_0010954,0
ISIC_0010958,0
ISIC_0010959,0
ISIC_0010960,0
ISIC_0010961,0
ISIC_0010969,0
ISIC_0010970,0
ISIC_0011012,1
ISIC_0011014,0
ISIC_0011025,0
ISIC_0011050,0
ISIC_0011053,0
ISIC_0011061,0
ISIC_0011065,0
ISIC_0011066,0
ISIC_0011067,0
ISIC_0011068,0
ISIC_0011069,0
ISIC_0011070,0
ISIC_0011071,0
ISIC_0011074,0
ISIC_0011082,0
ISIC_0011100,0
ISIC_0011101,0
ISIC_0011105,0
ISIC_0011110,0
ISIC_0011120,0
ISIC_0011143,0
ISIC_0011144,0
ISIC_0011167,0
ISIC_0011171,0
ISIC_0011180,0
ISIC_0011186,0
ISIC_0011190,0
ISIC_0011195,0
ISIC_0011203,0
ISIC_0011204,0
ISIC_0011208,0
ISIC_0011213,0
ISIC_0011215,0
ISIC_0011218,0
ISIC_0011219,0
ISIC_0011220,0
ISIC_0011221,0
ISIC_0011241,0
ISIC_0011251,0
ISIC_0011303,0
ISIC_0011304,0
ISIC_0011311,0
ISIC_0011312,0
ISIC_0011313,0
ISIC_0011314,0
ISIC_0011316,0
ISIC_0011317,0
ISIC_0011320,0
ISIC_0011321,0
ISIC_0011322,0
ISIC_0011324,0
ISIC_0011327,0
ISIC_0011328,0
ISIC_0011330,0
ISIC_0011343,0
ISIC_0011344,1
ISIC_0011397,0
ISIC_0011402,0
ISIC_0012654,0
ISIC_0012657,0
ISIC_0012659,0
ISIC_0012663,0
ISIC_0012699,0
ISIC_0012700,0
ISIC_0012725,0
ISIC_0012737,0
ISIC_0012740,0
ISIC_0012741,0
ISIC_0012804,0
ISIC_0012888,0
ISIC_0012949,0
ISIC_0012970,0
ISIC_0013015,0
ISIC_0013025,0
ISIC_0013026,0
ISIC_0013027,0
ISIC_0013048,0
ISIC_0013082,0
ISIC_0013097,0
ISIC_0013121,0
ISIC_0013132,0
ISIC_0013155,0
ISIC_0013176,0
ISIC_0013197,0
ISIC_0013212,0
ISIC_0013257,0
ISIC_0013346,0
ISIC_0013394,0
ISIC_0013430,0
ISIC_0013437,0
ISIC_0013592,0
ISIC_0013836,0
ISIC_0013936,1
ISIC_0014158,0
ISIC_0014195,0
ISIC_0014369,1
ISIC_0014430,0
