image_id,class
ISIC_0011404,1
ISIC_0011405,1
ISIC_0011492,1
ISIC_0011511,1
ISIC_0011524,1
ISIC_0011527,1
ISIC_0011528,1
ISIC_0011529,1
ISIC_0011530,1
ISIC_0011531,1
ISIC_0011532,1
ISIC_0011566,1
ISIC_0011610,1
ISIC_0011618,1
ISIC_0011628,1
ISIC_0011675,0
ISIC_0011709,1
ISIC_0011710,1
ISIC_0011769,0
ISIC_0011778,1
ISIC_0011809,0
ISIC_0011898,1
ISIC_0011908,0
ISIC_0011957,1
ISIC_0011958,1
ISIC_0011999,0
ISIC_0012083,1
ISIC_0014727,1
ISIC_0014729,0
ISIC_0014731,0
ISIC_0014790,1
ISIC_0014821,0
ISIC_0014975,1
ISIC_0014985,1
ISIC_0015163,1
ISIC_0015180,1
ISIC_0015185,1
ISIC_0015284,1
ISIC_0015403,0
ISIC_0015417,0
ISIC_0015593,0
ISIC_0015607,0
ISIC_0009872,0
ISIC_0009886,1
ISIC_0009907,0
ISIC_0009908,1
ISIC_0009913,1
ISIC_0009915,0
ISIC_0009916,1
ISIC_0009927,1
ISIC_0009934,1
ISIC_0009993,1
ISIC_0009997,0
ISIC_0009999,0
ISIC_0010007,1
ISIC_0010008,0
ISIC_0010029,1
ISIC_0010036,1
ISIC_0010067,1
ISIC_0010081,1
ISIC_0010102,0
ISIC_0010107,0
ISIC_0010136,0
ISIC_0010141,0
ISIC_0010156,1
ISIC_0010164,1
ISIC_0010181,1
ISIC_0010193,0
ISIC_0010207,1
ISIC_0010208,1
ISIC_0010212,0
ISIC_0010221,0
ISIC_0010245,1
ISIC_0010252,0
ISIC_0010278,1
ISIC_0010285,0
ISIC_0010286,0
ISIC_0010297,0
ISIC_0010298,0
ISIC_0010319,1
ISIC_0010322,1
ISIC_0010323,0
ISIC_0010332,0
ISIC_0010336,0
ISIC_0010355,1
ISIC_0010359,1
ISIC_0010361,0
ISIC_0010370,0
ISIC_0010371,0
ISIC_0010375,0
ISIC_0010376,1
ISIC_0010379,1
ISIC_0010380,1
ISIC_0010385,1
ISIC_0010388,1
ISIC_0010391,1
ISIC_0010396,1
ISIC_0010400,1
ISIC_0010402,1
ISIC_0010407,1
ISIC_0010412,0
ISIC_0010413,1
ISIC_0010423,1
ISIC_0010424,0
ISIC_0010428,0
ISIC_0010435,0
ISIC_0010441,1
ISIC_0010442,0
ISIC_0010457,0
ISIC_0010458,0
ISIC_0010460,0
ISIC_0010469,1
ISIC_0010470,1
ISIC_0010478,1
ISIC_0010482,1
ISIC_0010493,0
ISIC_0010516,1
ISIC_0010527,1
ISIC_0010528,0
ISIC_0010544,0
ISIC_0010546,1
ISIC_0010559,1
ISIC_0010560,0
ISIC_0010561,0
ISIC_0010562,0
ISIC_0010564,1
ISIC_0010565,0
ISIC_0010569,0
ISIC_0010579,1
ISIC_0010627,0
ISIC_0010629,1
ISIC_0010644,1
ISIC_0010652,1
ISIC_0010655,1
ISIC_0010665,0
ISIC_0010673,0
ISIC_0010707,1
ISIC_0010714,1
ISIC_0010716,0
ISIC_0010737,1
ISIC_0010739,0
ISIC_0010783,1
ISIC_0010790,1
ISIC_0010792,1
ISIC_0010799,1
ISIC_0010810,1
ISIC_0010820,0
ISIC_0010844,0
ISIC_0010846,0
ISIC_0010847,0
ISIC_0010854,0
ISIC_0010866,1
ISIC_0010872,1
ISIC_0010876,1
ISIC_0010890,1
ISIC_0010898,1
ISIC_0010920,0
ISIC_0010923,1
ISIC_0010929,0
ISIC_0010930,0
ISIC_0010934,1
ISIC_0010963,0
ISIC_0010976,0
ISIC_0010979,1
ISIC_0010982,1
ISIC_0010983,0
ISIC_0010991,0
ISIC_0010993,1
ISIC_0011007,1
ISIC_0011039,1
ISIC_0011042,1
ISIC_0011043,1
ISIC_0011052,1
ISIC_0011075,0
ISIC_0011077,1
ISIC_0011078,0
ISIC_0011106,0
ISIC_0011108,0
ISIC_0011117,0
ISIC_0011121,1
ISIC_0011128,1
ISIC_0011136,1
ISIC_0011138,1
ISIC_0011139,1
ISIC_0011178,1
ISIC_0011181,1
ISIC_0011187,1
ISIC_0011193,1
ISIC_0011194,1
ISIC_0011207,0
ISIC_0011209,1
ISIC_0011264,1
ISIC_0011267,1
ISIC_0011276,1
ISIC_0011277,1
ISIC_0011285,1
ISIC_0011286,1
ISIC_0011291,0
ISIC_0011305,1
ISIC_0011335,0
ISIC_0011337,1
ISIC_0011351,0
ISIC_0011370,1
ISIC_0011374,1
ISIC_0011381,1
ISIC_0011388,1
ISIC_0012678,1
ISIC_0012702,0
ISIC_0012715,1
ISIC_0012726,0
ISIC_0012749,1
ISIC_0012768,0
ISIC_0012793,0
ISIC_0012803,0
ISIC_0012837,0
ISIC_0012940,0
ISIC_0012941,0
ISIC_0012945,0
ISIC_0012957,0
ISIC_0012967,0
ISIC_0012987,0
ISIC_0013114,0
ISIC_0013120,0
ISIC_0013124,0
ISIC_0013126,0
ISIC_0013159,0
ISIC_0013181,0
ISIC_0013198,1
ISIC_0013227,0
ISIC_0013243,0
ISIC_0013302,0
ISIC_0013306,0
ISIC_0013310,0
ISIC_0013315,0
ISIC_0013334,1
ISIC_0013340,0
ISIC_0013369,0
ISIC_0013411,1
ISIC_0013429,1
ISIC_0013459,1
ISIC_0013473,1
ISIC_0013497,1
ISIC_0013511,0
ISIC_0013552,0
ISIC_0013565,1
ISIC_0013567,1
ISIC_0013573,1
ISIC_0013588,1
ISIC_0013636,1
ISIC_0013644,1
ISIC_0013651,1
ISIC_0013721,0
ISIC_0013813,1
ISIC_0013814,1
ISIC_0013819,0
ISIC_0013828,1
ISIC_0013840,1
ISIC_0013844,1
ISIC_0013925,1
ISIC_0013953,1
ISIC_0013965,0
ISIC_0013966,0
ISIC_0013975,1
ISIC_0013982,0
ISIC_0014037,1
ISIC_0014045,0
ISIC_0014062,1
ISIC_0014076,1
ISIC_0014079,1
ISIC_0014082,1
ISIC_0014103,1
ISIC_0014132,1
ISIC_0014144,1
ISIC_0014148,1
ISIC_0014171,1
ISIC_0014186,1
ISIC_0014187,1
ISIC_0014222,1
ISIC_0014248,0
ISIC_0014274,0
ISIC_0014284,1
ISIC_0014299,0
ISIC_0014324,1
ISIC_0014328,0
ISIC_0014331,1
ISIC_0014336,1
ISIC_0014337,1
ISIC_0014357,1
ISIC_0014385,1
ISIC_0014395,1
ISIC_0014423,1
ISIC_0014557,1
